Address,Size,LotSize,YearBuilt,Image
"605 41st St Apt C,
Brooklyn, NY, 11232",N/A,N/A,1921,https://ap.rdcpix.com/9e9e2375b648f0514410109858614697l-m3989852227od-w1024_h768.jpg
"548 46th St Apt 4L,
New York, NY, 11220",819sqft,N/A,N/A,https://ap.rdcpix.com/b735541103de602632d8ed36d65d00c0l-m1039153843od-w1024_h768.jpg
"5708 7th Ave Apt 6B,
Brooklyn, NY, 11220",577sqft,N/A,2008,https://ap.rdcpix.com/71787cc1ea4170fd3beb4b585787ba29l-m2873160404od-w1024_h768.jpg
"4012 7th Ave Apt 2,
Brooklyn, NY, 11232",730sqft,N/A,1925,https://ap.rdcpix.com/996410e0de73a73427fc00d5dd027150l-m1838820552od-w1024_h768.jpg
"5306 4th Ave,
Brooklyn, NY, 11220",717sqft,N/A,2007,https://ap.rdcpix.com/38aaed9c36538eae81eefe598acdaf71l-m1323273311od-w1024_h768.jpg
"4404 6th Ave Apt 3C,
Brooklyn, NY, 11220",N/A,N/A,1914,https://ap.rdcpix.com/8186428f6c41197ad593ace949731e52l-m2625014157od-w1024_h768.jpg
"429 53rd St,
Brooklyn, NY, 11220","1,200sqft","2,003sqft lot",1920,https://ap.rdcpix.com/910c8aac825d5479480edcf6e8326e46l-m3665137955od-w1024_h768.jpg
"873 52nd St,
Brooklyn, NY, 11220",N/A,"2,003sqft lot",N/A,https://ap.rdcpix.com/79b419ec87f56b08c5fa054b8452cbf3l-m1561859088od-w1024_h768.jpg
"341 40th St,
Brooklyn, NY, 11232","1,568sqft","1,670sqft lot",1910,https://ap.rdcpix.com/c8e8b72d2354ca73002f54db19a0ff7al-m3798114055od-w1024_h768.jpg
"452 60th St,
Brooklyn, NY, 11220","3,600sqft","2,000sqft lot",1907,https://ap.rdcpix.com/4a6869301612ca8268aa4cffee14147bl-m4290891322od-w1024_h768.jpg
"457 49th St,
Brooklyn, NY, 11220","1,740sqft","2,000sqft lot",1910,https://ap.rdcpix.com/852a9b15db6e4bfa90ab6da8d8c84725l-m1712011391od-w1024_h768.jpg
"614 61st St,
Brooklyn, NY, 11220","3,120sqft","1,640sqft lot",N/A,https://ap.rdcpix.com/7625495b23140471dd4ad01843582c5fl-m1213834607od-w1024_h768.jpg
"838 41st St Unit 2A,
Brooklyn, NY, 11232",800sqft,N/A,2020,https://ap.rdcpix.com/1a382c6d34aa4a9dddf3ebb0f50862fbl-m2495208131od-w1024_h768.jpg
"320 57th St Apt 2B,
Brooklyn, NY, 11220","1,455sqft",N/A,1900,https://ap.rdcpix.com/a1134d69201afc9abdb7a6a9496594a3l-m2031818965od-w1024_h768.jpg
"430 61st St,
New York, NY, 11220","16,512sqft",N/A,N/A,https://ap.rdcpix.com/e146b2011cdb0c240c351deffaf6f2e2l-m325982265od-w1024_h768.jpg
"826 40th St,
Brooklyn, NY, 11232","3,500sqft","2,500sqft lot",1925,https://ap.rdcpix.com/9d6baea8aa73779b084e019987a8a82dl-m3815842079od-w1024_h768.jpg
"4003 6th Ave,
Brooklyn, NY, 11232",N/A,"2,000sqft lot",1945,https://ap.rdcpix.com/0ceee156f510db46534d2edeccd24cfbl-m4170429407od-w1024_h768.jpg
"638 50th St Apt 3A,
Brooklyn, NY, 11220",579sqft,N/A,2011,https://ap.rdcpix.com/531716929d76a98b7dd52ff2b2756047l-m3724203058od-w1024_h768.jpg
"239 55th St,
Brooklyn, NY, 11220",N/A,"1,900sqft lot",N/A,https://ap.rdcpix.com/574a1999dab2f7757800a5349b8511dbl-m999015450od-w1024_h768.jpg
"663 55th St,
Brooklyn, NY, 11220","2,128sqft","2,200sqft lot",1920,https://ap.rdcpix.com/32f79f658f6bcd3f41e24041aa42d715l-m2434041184od-w1024_h768.jpg
"342 50th St,
Brooklyn, NY, 11220","2,520sqft","2,003sqft lot",1910,https://ap.rdcpix.com/9f15f4fb7abee59fae33a8b4a7702b78l-m3164905186od-w1024_h768.jpg
"776 46th St,
Brooklyn, NY, 11220",N/A,"2,000sqft lot",N/A,https://ap.rdcpix.com/0fac4c3f062e2e53b3198469ee614f45l-m2197301934od-w1024_h768.jpg
"246 54th St,
New York, NY, 11220",N/A,N/A,N/A,https://ap.rdcpix.com/a5bb78695c236f06df83f1aea33e7734l-m2921502892od-w1024_h768.jpg
"330 43rd St,
Brooklyn, NY, 11232","1,935sqft","1,953sqft lot",1910,https://ap.rdcpix.com/44e344baa349054d774cc494c6832e50l-m2394482790od-w1024_h768.jpg
"858 46th St,
Brooklyn, NY, 11220","3,318sqft","2,700sqft lot",1927,https://ap.rdcpix.com/00f515b12b740f0468e4aca1a95161b5l-m2900571592od-w1024_h768.jpg
"346 52nd St,
Brooklyn, NY, 11220","3,720sqft","2,011sqft lot",1920,https://ap.rdcpix.com/cf0a7f1fcb5d0df8855b672ea698bd5el-m3872845525od-w1024_h768.jpg
"354 48th St,
Brooklyn, NY, 11220","1,360sqft","1,603sqft lot",1910,https://ap.rdcpix.com/9df8721990ca70d6f019c09e3ec27ecal-m2876653678od-w1024_h768.jpg
"828 53rd St,
Brooklyn, NY, 11220",884sqft,"1,302sqft lot",1915,https://ap.rdcpix.com/be1337d97a8073ae3de83a8b23863f75l-m2239674391od-w1024_h768.jpg
"729 40th St Unit 3A,
Brooklyn, NY, 11232",705sqft,N/A,2009,https://ap.rdcpix.com/d6cf1e0f088d530dddae1cbcba8c6a50l-m967464929od-w1024_h768.jpg
"254 55th St Unit 4A,
Brooklyn, NY, 11220","1,335sqft",N/A,2018,https://ap.rdcpix.com/251153ff3b818f02f0779298e626752dl-m2316659228od-w1024_h768.jpg
"830 53rd St,
Brooklyn, NY, 11220",884sqft,"1,302sqft lot",1915,https://ap.rdcpix.com/032d669558f958b4ebf77f8120139373l-m2447607932od-w1024_h768.jpg
"535 39th St,
Brooklyn, NY, 11232","2,248sqft","1,462sqft lot",1910,https://ap.rdcpix.com/952549320fdab3afcab06b94f993c2dfl-m3502510187od-w1024_h768.jpg
"712 45 St Unit 3A1,
Brooklyn, NY, 11220",861sqft,N/A,N/A,https://ap.rdcpix.com/0b624febe77e20db56294eeb79aa8693l-m3983605818od-w1024_h768.jpg
"53 55th St,
Brooklyn, NY, 11220","11,584sqft",N/A,1899,https://ap.rdcpix.com/39229f9eaf44ee98146b659d15e07052l-m3420741642od-w1024_h768.jpg
"453 42nd St,
Brooklyn, NY, 11232","10,530sqft","2,700sqft lot",1914,https://ap.rdcpix.com/a0785c2eb4343fe9cf3f8cd908430c2el-m117459493od-w1024_h768.jpg
"825 46th St,
Brooklyn, NY, 11220","2,814sqft","2,805sqft lot",1925,https://ap.rdcpix.com/50d5407ef61aa8f5a14a01bc048536f3l-m1117255801od-w1024_h768.jpg
"834 57th St Apt 2C,
Brooklyn, NY, 11220",545sqft,N/A,2008,https://ap.rdcpix.com/a8d5676d1fc09c507338529fa630c79bl-m50110650od-w1024_h768.jpg
"518 51st St,
Brooklyn, NY, 11220",N/A,"2,000sqft lot",1920,https://ap.rdcpix.com/d14af1601046f69931ce41a313c645a3l-m2027908686od-w1024_h768.jpg
"3907 7th Ave,
Brooklyn, NY, 11232","1,666sqft","1,666sqft lot",N/A,https://ap.rdcpix.com/9fdf160547fe646ecb5acc69a7a33324l-m547646726od-w1024_h768.jpg
"665 52nd St,
Brooklyn, NY, 11220",N/A,"1,700sqft lot",N/A,https://ap.rdcpix.com/f1b22f6bf09232be3be4420eabbca130l-m3616441721od-w1024_h768.jpg
"730 57th St Apt 3D,
Brooklyn, NY, 11220",500sqft,N/A,N/A,https://ap.rdcpix.com/5c78aa91c9bc9ae3eaa73d4e62970e6fl-m3732753760od-w1024_h768.jpg
"420 64th St Ph 1,
Brooklyn, NY, 11220","2,200sqft",N/A,1990,https://ap.rdcpix.com/f9f1b829e7fc1d879e8ff7e397d8a0a5l-m1577153791od-w1024_h768.jpg
