Address,Latitude,Longitude,BuildingType,FloorSize,Link,Image
"605 41st St Apt P, Brooklyn, NY 11232",40.648878,-74.002505,SingleFamilyResidence,800,https://www.zillow.com/homedetails/605-41st-St-APT-P-Brooklyn-NY-11232/245041289_zpid/,https://photos.zillowstatic.com/fp/4556eb12166ccf56aa8027811809307d-p_e.jpg
"420 64th St Penthouse 1, Brooklyn, NY 11220",40.63779,-74.01985,SingleFamilyResidence,"2,200",https://www.zillow.com/homedetails/420-64th-St-PENTHOUSE-1-Brooklyn-NY-11220/30691253_zpid/,https://photos.zillowstatic.com/fp/b2d9f0bf3ac05b2d76233f1902e609d7-p_e.jpg
"838 41st St #2a, Brooklyn, NY 11232",40.64538,-73.997646,SingleFamilyResidence,798,https://www.zillow.com/homedetails/838-41st-St-2A-Brooklyn-NY-11232/2077873054_zpid/,https://photos.zillowstatic.com/fp/88b9cfd6d0423e7e9a707ed66a45d7f9-p_e.jpg
"730 57th St Apt 3d, Brooklyn, NY 11220",40.637843,-74.009321,SingleFamilyResidence,500,https://www.zillow.com/homedetails/730-57th-St-APT-3D-Brooklyn-NY-11220/2118332909_zpid/,https://photos.zillowstatic.com/fp/5caa42f81d548f2a1e23f6aa94096abd-p_e.jpg
"420 64th St Penthouse 2, Brooklyn, NY 11220",40.63779,-74.01985,SingleFamilyResidence,720,https://www.zillow.com/homedetails/420-64th-St-PENTHOUSE-2-Brooklyn-NY-11220/30691254_zpid/,https://photos.zillowstatic.com/fp/21b765052aba56dbd0936bca3c97a0d3-p_e.jpg
"4407 4th Ave Apt C4, Brooklyn, NY 11220",40.649419,-74.009011,SingleFamilyResidence,800,https://www.zillow.com/homedetails/4407-4th-Ave-APT-C4-Brooklyn-NY-11220/97307699_zpid/,https://photos.zillowstatic.com/fp/988e0ccb73892f9020a69fbda6b576e0-p_e.jpg
"354 48th St, Brooklyn, NY 11220",40.647901,-74.012391,SingleFamilyResidence,"1,360",https://www.zillow.com/homedetails/354-48th-St-Brooklyn-NY-11220/30576453_zpid/,https://photos.zillowstatic.com/fp/eeea67302dcccb87f6a04da4a47df8b4-p_e.jpg
"683 41st St Apt 18, Brooklyn, NY 11232",40.647824,-74.000917,SingleFamilyResidence,500,https://www.zillow.com/homedetails/683-41st-St-APT-18-Brooklyn-NY-11232/124866466_zpid/,https://photos.zillowstatic.com/fp/1054665df412f4c133ff213bdf2ca461-p_e.jpg
"548 46th St Apt 4l, Brooklyn, NY 11220",40.64644,-74.006934,SingleFamilyResidence,819,https://www.zillow.com/homedetails/548-46th-St-APT-4L-Brooklyn-NY-11220/145587990_zpid/,https://photos.zillowstatic.com/fp/edf0da4b3b889b40e507fa7ec32e5797-p_e.jpg
"637 41st St Apt 1b, Brooklyn, NY 11232",40.648239,-74.001445,SingleFamilyResidence,800,https://www.zillow.com/homedetails/637-41st-St-APT-1B-Brooklyn-NY-11232/245000022_zpid/,https://photos.zillowstatic.com/fp/9186bc3c5bb8019ca5ca6bdeab762726-p_e.jpg
"826 43rd St Apt 8, Brooklyn, NY 11232",40.644441,-73.999104,SingleFamilyResidence,970,https://www.zillow.com/homedetails/826-43rd-St-APT-8-Brooklyn-NY-11232/244999274_zpid/,https://photos.zillowstatic.com/fp/4c381dabd2b5768ad8ba17a89118fd67-p_e.jpg
"834 57th St Apt 2c, Brooklyn, NY 11220",40.636478,-74.007063,SingleFamilyResidence,545,https://www.zillow.com/homedetails/834-57th-St-APT-2C-Brooklyn-NY-11220/112507553_zpid/,https://photos.zillowstatic.com/fp/1898c153ddee2bdec9e76eb14673fb63-p_e.jpg
"320 57th St Apt 2b, Brooklyn, NY 11220",40.643332,-74.018413,SingleFamilyResidence,"1,455",https://www.zillow.com/homedetails/320-57th-St-APT-2B-Brooklyn-NY-11220/116169581_zpid/,https://photos.zillowstatic.com/fp/98391c4558dc134ab29a3244a3093ff8-p_e.jpg
